2019-02-22,2018-2019,Ligue 1,Lille,Strasbourg,Away,1,1,D,Reinildo Mandava,N,N/A,5,0,0,0,0,0,0,2,1,0,0,0
2019-05-05,2018-2019,Ligue 1,Lille,Lyon,Away,2,2,D,Reinildo Mandava,N,N/A,2,0,0,0,0,0,0,1,0,0,1,0
2019-05-24,2018-2019,Ligue 1,Lille,Rennes,Away,1,3,L,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,2,1,4,1,1
2019-08-11,2019-2020,Ligue 1,Lille,Nantes,Home,2,1,W,Reinildo Mandava,N,N/A,4,0,0,0,0,0,0,0,0,1,0,2
2019-09-13,2019-2020,Ligue 1,Lille,Angers,Home,2,1,W,Reinildo Mandava,N,N/A,17,0,0,0,0,0,0,0,0,0,0,0
2019-09-22,2019-2020,Ligue 1,Lille,Rennes,Away,1,1,D,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,2,2,4,5,0
2019-09-25,2019-2020,Ligue 1,Lille,Strasbourg,Home,2,0,W,Reinildo Mandava,N,N/A,15,0,0,0,0,0,0,1,0,0,0,0
2019-09-28,2019-2020,Ligue 1,Lille,Nice,Away,1,1,D,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,2,0,4,3,1
2019-10-26,2019-2020,Ligue 1,Lille,Bordeaux,Home,3,0,W,Reinildo Mandava,Y,LM,90,0,0,0,0,0,0,1,3,1,2,2
2019-11-02,2019-2020,Ligue 1,Lille,Marseille,Away,1,2,L,Reinildo Mandava,Y,LM,90,0,0,0,0,0,0,2,4,0,2,4
2019-11-09,2019-2020,Ligue 1,Lille,Metz,Home,0,0,D,Reinildo Mandava,Y,LB,90,0,0,0,0,1,0,2,2,0,9,1
2019-11-22,2019-2020,Ligue 1,Lille,Paris Saint-Germain,Away,0,2,L,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,0,3,0,2,1
2019-11-30,2019-2020,Ligue 1,Lille,Dijon,Home,1,0,W,Reinildo Mandava,Y,LB,83,0,0,0,0,1,0,2,3,0,0,2
2020-01-26,2019-2020,Ligue 1,Lille,Paris Saint-Germain,Home,0,2,L,Reinildo Mandava,Y,LB,90,0,0,1,0,1,0,2,1,0,1,1
2020-02-01,2019-2020,Ligue 1,Lille,Strasbourg,Away,2,1,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,2,2,0,7,1
2020-02-04,2019-2020,Ligue 1,Lille,Rennes,Home,1,0,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,2,1,0,2,0
2020-02-07,2019-2020,Ligue 1,Lille,Angers,Away,2,0,W,Reinildo Mandava,Y,LB,90,0,0,0,0,1,0,1,0,0,4,2
2020-02-16,2019-2020,Ligue 1,Lille,Marseille,Home,1,2,L,Reinildo Mandava,Y,LB,90,0,0,1,0,0,0,2,0,0,3,0
2020-03-08,2019-2020,Ligue 1,Lille,Lyon,Home,1,0,W,Reinildo Mandava,N,N/A,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-22,2020-2021,Ligue 1,Lille,Rennes,Home,1,1,D,Reinildo Mandava,Y,LB,42,0,0,0,0,1,0,2,2,0,1,0
2020-09-20,2020-2021,Ligue 1,Lille,Marseille,Away,1,1,D,Reinildo Mandava,N,N/A,26,0,0,0,0,0,0,0,1,0,2,0
2020-11-01,2020-2021,Ligue 1,Lille,Lyon,Home,1,1,D,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,2,1,0,5,1
