PLAYER,SEASON,TEAM
Abde Ezzalzouli,2021-2022,Barcelona
Abde Ezzalzouli,2022-2023,Osasuna
Abde Ezzalzouli,2023-2024,Barcelona
Abde Ezzalzouli,2023-2024,Real Betis
Abde Ezzalzouli,2024-2025,Real Betis
Abde Ezzalzouli,2025-2026,Real Betis
Abdel Abqar,2018-2019,Málaga
Abdel Abqar,2020-2021,Alavés
Abdel Abqar,2021-2022,Alavés
Abdel Abqar,2022-2023,Alavés
Abdel Abqar,2023-2024,Alavés
Abdel Abqar,2024-2025,Alavés
Abdel Abqar,2025-2026,Getafe
Abel Bretones,2022-2023,Oviedo
Abel Bretones,2023-2024,Oviedo
Abel Bretones,2024-2025,Osasuna
Abel Bretones,2025-2026,Osasuna
Adrià Altimira,2022-2023,Andorra
Adrià Altimira,2023-2024,Villarreal
Adrià Altimira,2023-2024,Villarreal B
Adrià Altimira,2024-2025,Leganés
Adrià Altimira,2025-2026,Deportivo La Coruña
Adrià Altimira,2025-2026,Villarreal
Aimar Oroz,2018-2019,Osasuna
Aimar Oroz,2019-2020,Osasuna
Aimar Oroz,2020-2021,Osasuna
Aimar Oroz,2022-2023,Osasuna
Aimar Oroz,2023-2024,Osasuna
Aimar Oroz,2024-2025,Osasuna
Aimar Oroz,2025-2026,Osasuna
Aitor Ruibal,2017-2018,Real Betis
Aitor Ruibal,2018-2019,Rayo Majadahonda
Aitor Ruibal,2019-2020,Leganés
Aitor Ruibal,2020-2021,Real Betis
Aitor Ruibal,2021-2022,Real Betis
Aitor Ruibal,2022-2023,Real Betis
Aitor Ruibal,2023-2024,Real Betis
Aitor Ruibal,2024-2025,Real Betis
Aitor Ruibal,2025-2026,Real Betis
Alberto Moleiro,2020-2021,Las Palmas
Alberto Moleiro,2021-2022,Las Palmas
Alberto Moleiro,2022-2023,Las Palmas
Alberto Moleiro,2023-2024,Las Palmas
Alberto Moleiro,2024-2025,Las Palmas
Alberto Moleiro,2025-2026,Villarreal
Alejandro Balde,2021-2022,Barcelona
Alejandro Balde,2022-2023,Barcelona
Alejandro Balde,2023-2024,Barcelona
Alejandro Balde,2024-2025,Barcelona
Alejandro Balde,2025-2026,Barcelona
Alex Král,2016-2017,Teplice
Alex Král,2017-2018,Teplice
Alex Král,2018-2019,Teplice
Alex Král,2018-2019,Slavia Prague
Alex Král,2019-2020,Slavia Prague
Alex Král,2019-2020,Spartak Moscow
Alex Král,2020-2021,Spartak Moscow
Alex Král,2021-2022,Spartak Moscow
Alex Král,2021-2022,West Ham United
Alex Král,2022-2023,Schalke 04
Alex Král,2023-2024,Union Berlin
Alex Král,2024-2025,Espanyol
Alex Král,2025-2026,Union Berlin
Alexander Sørloth,2014-2015,Rosenborg
Alexander Sørloth,2015-2016,Bodø/Glimt
Alexander Sørloth,2015-2016,Groningen
Alexander Sørloth,2016-2017,Groningen
Alexander Sørloth,2017-2018,Midtjylland
Alexander Sørloth,2017-2018,Crystal Palace
Alexander Sørloth,2018-2019,Crystal Palace
Alexander Sørloth,2018-2019,Gent
Alexander Sørloth,2019-2020,Trabzonspor
Alexander Sørloth,2020-2021,RB Leipzig
Alexander Sørloth,2021-2022,Real Sociedad
Alexander Sørloth,2022-2023,Real Sociedad
Alexander Sørloth,2022-2023,RB Leipzig
Alexander Sørloth,2023-2024,Villarreal
Alexander Sørloth,2024-2025,Atlético Madrid
Alexander Sørloth,2025-2026,Atlético Madrid
Allan Nyom,2010-2011,Granada
Allan Nyom,2011-2012,Granada
Allan Nyom,2012-2013,Granada
Allan Nyom,2013-2014,Granada
Allan Nyom,2014-2015,Granada
Allan Nyom,2015-2016,Watford
Allan Nyom,2016-2017,Watford
Allan Nyom,2016-2017,West Bromwich Albion
Allan Nyom,2017-2018,West Bromwich Albion
Allan Nyom,2018-2019,West Bromwich Albion
Allan Nyom,2018-2019,Leganés
Allan Nyom,2019-2020,Getafe
Allan Nyom,2020-2021,Getafe
Allan Nyom,2021-2022,Getafe
Allan Nyom,2021-2022,Leganés
Allan Nyom,2022-2023,Leganés
Allan Nyom,2023-2024,Leganés
Allan Nyom,2024-2025,Getafe
Allan Nyom,2025-2026,Getafe
Andriy Lunin,2016-2017,FC Dnipro
Andriy Lunin,2017-2018,Zorya Luhansk
Andriy Lunin,2018-2019,Leganés
Andriy Lunin,2019-2020,Oviedo
Andriy Lunin,2021-2022,Real Madrid
Andriy Lunin,2022-2023,Real Madrid
Andriy Lunin,2023-2024,Real Madrid
Andriy Lunin,2024-2025,Real Madrid
Andriy Lunin,2025-2026,Real Madrid
Ante Budimir,2010-2011,Inter Zaprešić
Ante Budimir,2011-2012,Inter Zaprešić
Ante Budimir,2012-2013,Inter Zaprešić
Ante Budimir,2013-2014,Lokomotiva
Ante Budimir,2014-2015,Lokomotiva
Ante Budimir,2014-2015,St. Pauli
Ante Budimir,2015-2016,St. Pauli
Ante Budimir,2015-2016,Crotone
Ante Budimir,2016-2017,Sampdoria
Ante Budimir,2017-2018,Crotone
Ante Budimir,2018-2019,Crotone
Ante Budimir,2018-2019,Mallorca
Ante Budimir,2019-2020,Mallorca
Ante Budimir,2020-2021,Mallorca
Ante Budimir,2020-2021,Osasuna
Ante Budimir,2021-2022,Osasuna
Ante Budimir,2022-2023,Osasuna
Ante Budimir,2023-2024,Osasuna
Ante Budimir,2024-2025,Osasuna
Ante Budimir,2025-2026,Osasuna
Antoine Griezmann,2009-2010,Real Sociedad
Antoine Griezmann,2010-2011,Real Sociedad
Antoine Griezmann,2011-2012,Real Sociedad
Antoine Griezmann,2012-2013,Real Sociedad
Antoine Griezmann,2013-2014,Real Sociedad
Antoine Griezmann,2014-2015,Atlético Madrid
Antoine Griezmann,2015-2016,Atlético Madrid
Antoine Griezmann,2016-2017,Atlético Madrid
Antoine Griezmann,2017-2018,Atlético Madrid
Antoine Griezmann,2018-2019,Atlético Madrid
Antoine Griezmann,2019-2020,Barcelona
Antoine Griezmann,2020-2021,Barcelona
Antoine Griezmann,2021-2022,Barcelona
Antoine Griezmann,2021-2022,Atlético Madrid
Antoine Griezmann,2022-2023,Atlético Madrid
Antoine Griezmann,2023-2024,Atlético Madrid
Antoine Griezmann,2024-2025,Atlético Madrid
Antoine Griezmann,2025-2026,Atlético Madrid
Antonio Blanco,2020-2021,Real Madrid
Antonio Blanco,2021-2022,Real Madrid
Antonio Blanco,2022-2023,Cádiz
Antonio Blanco,2022-2023,Alavés
Antonio Blanco,2023-2024,Alavés
Antonio Blanco,2024-2025,Alavés
Antonio Blanco,2025-2026,Alavés
Antonio Raíllo,2015-2016,Espanyol
Antonio Raíllo,2015-2016,Ponferradina
Antonio Raíllo,2016-2017,Mallorca
Antonio Raíllo,2018-2019,Mallorca
Antonio Raíllo,2019-2020,Mallorca
Antonio Raíllo,2020-2021,Mallorca
Antonio Raíllo,2021-2022,Mallorca
Antonio Raíllo,2022-2023,Mallorca
Antonio Raíllo,2023-2024,Mallorca
Antonio Raíllo,2024-2025,Mallorca
Antonio Raíllo,2025-2026,Mallorca
Antonio Rüdiger,2011-2012,Stuttgart
Antonio Rüdiger,2011-2012,Stuttgart II
Antonio Rüdiger,2012-2013,Stuttgart II
Antonio Rüdiger,2012-2013,Stuttgart
Antonio Rüdiger,2013-2014,Stuttgart
Antonio Rüdiger,2014-2015,Stuttgart
Antonio Rüdiger,2014-2015,Stuttgart II
Antonio Rüdiger,2015-2016,Roma
Antonio Rüdiger,2016-2017,Roma
Antonio Rüdiger,2017-2018,Chelsea
Antonio Rüdiger,2018-2019,Chelsea
Antonio Rüdiger,2019-2020,Chelsea
Antonio Rüdiger,2019-2020,Chelsea U23 (PL2)
Antonio Rüdiger,2020-2021,Chelsea
Antonio Rüdiger,2021-2022,Chelsea
Antonio Rüdiger,2022-2023,Real Madrid
Antonio Rüdiger,2023-2024,Real Madrid
Antonio Rüdiger,2024-2025,Real Madrid
Antonio Rüdiger,2025-2026,Real Madrid
Antonio Sivera,2017-2018,Alavés
Antonio Sivera,2018-2019,Alavés
Antonio Sivera,2019-2020,Almería
Antonio Sivera,2019-2020,Alavés
Antonio Sivera,2020-2021,Alavés
Antonio Sivera,2021-2022,Alavés
Antonio Sivera,2022-2023,Alavés
Antonio Sivera,2023-2024,Alavés
Antonio Sivera,2024-2025,Alavés
Antonio Sivera,2025-2026,Alavés
Arda Güler,2020-2021,Fenerbahçe
Arda Güler,2021-2022,Fenerbahçe
Arda Güler,2022-2023,Fenerbahçe
Arda Güler,2023-2024,Real Madrid
Arda Güler,2024-2025,Real Madrid
Arda Güler,2025-2026,Real Madrid
Asier Villalibre,2015-2016,Bilbao B
Asier Villalibre,2016-2017,Athletic Club
Asier Villalibre,2016-2017,Numancia
Asier Villalibre,2017-2018,Lorca FC
Asier Villalibre,2017-2018,Valladolid
Asier Villalibre,2019-2020,Athletic Club
Asier Villalibre,2020-2021,Athletic Club
Asier Villalibre,2021-2022,Athletic Club
Asier Villalibre,2022-2023,Alavés
Asier Villalibre,2022-2023,Athletic Club
Asier Villalibre,2023-2024,Athletic Club
Asier Villalibre,2024-2025,Alavés
Asier Villalibre,2025-2026,Racing Santander
Aurélien Tchouaméni,2017-2018,Bordeaux
Aurélien Tchouaméni,2018-2019,Bordeaux
Aurélien Tchouaméni,2019-2020,Bordeaux
Aurélien Tchouaméni,2019-2020,Monaco
Aurélien Tchouaméni,2020-2021,Monaco
Aurélien Tchouaméni,2021-2022,Monaco
Aurélien Tchouaméni,2022-2023,Real Madrid
Aurélien Tchouaméni,2023-2024,Real Madrid
Aurélien Tchouaméni,2024-2025,Real Madrid
Aurélien Tchouaméni,2025-2026,Real Madrid
Borja Iglesias,2014-2015,Celta Vigo
Borja Iglesias,2015-2016,Celta Vigo
Borja Iglesias,2017-2018,Zaragoza
Borja Iglesias,2018-2019,Espanyol
Borja Iglesias,2019-2020,Real Betis
Borja Iglesias,2020-2021,Real Betis
Borja Iglesias,2021-2022,Real Betis
Borja Iglesias,2022-2023,Real Betis
Borja Iglesias,2023-2024,Real Betis
Borja Iglesias,2023-2024,Leverkusen
Borja Iglesias,2024-2025,Celta Vigo
Borja Iglesias,2025-2026,Celta Vigo
Brahim Díaz,2016-2017,Manchester City U18
